% Model:              Q8final.mph
% Version:            COMSOL 5.5.0.292
% Date:               Oct 22 2021, 17:56
% Dimension:          2
% Nodes:              41
% Expressions:        51
% Description:        Dependent variable u
% Length unit:        m
% X                       Y                        u (1) @ t=0              u (1) @ t=0.02           u (1) @ t=0.04           u (1) @ t=0.06           u (1) @ t=0.08           u (1) @ t=0.1            u (1) @ t=0.12           u (1) @ t=0.14           u (1) @ t=0.16           u (1) @ t=0.18           u (1) @ t=0.2            u (1) @ t=0.22           u (1) @ t=0.24           u (1) @ t=0.26           u (1) @ t=0.28           u (1) @ t=0.3            u (1) @ t=0.32           u (1) @ t=0.34           u (1) @ t=0.36           u (1) @ t=0.38           u (1) @ t=0.4            u (1) @ t=0.42           u (1) @ t=0.44           u (1) @ t=0.46           u (1) @ t=0.48           u (1) @ t=0.5            u (1) @ t=0.52           u (1) @ t=0.54           u (1) @ t=0.56           u (1) @ t=0.58           u (1) @ t=0.6            u (1) @ t=0.62           u (1) @ t=0.64           u (1) @ t=0.66           u (1) @ t=0.68           u (1) @ t=0.7            u (1) @ t=0.72           u (1) @ t=0.74           u (1) @ t=0.76           u (1) @ t=0.78           u (1) @ t=0.8            u (1) @ t=0.82           u (1) @ t=0.84           u (1) @ t=0.86           u (1) @ t=0.88           u (1) @ t=0.9            u (1) @ t=0.92           u (1) @ t=0.94           u (1) @ t=0.96           u (1) @ t=0.98           u (1) @ t=1
0                         1.5                      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.05                      1.5                      0.9500208315940212       0.9985383140348167       1.020761828478054        0.8586059154268211       0.5694800682538746       0.3112133019071857       0.15033110638649483      0.06344003315122888      0.013214334390730489     -0.019919006299039       -0.03746332990775562     -0.033026615044716795    -0.00770310485003363     0.018133525274786975     0.017067793776890713     -0.01901449076096545     -0.06346055261133154     -0.07515182677854984     -0.04638292633848856     -0.01939372342885965     -0.040666160627644936    -0.09437790910050473     -0.11511010879174059     -0.08387734973496767     -0.06374631854173868     -0.10090361588496183     -0.14660779567522883     -0.14608009697464172     -0.13088814589621242     -0.14029320568312068     -0.15838195845344466     -0.16969232164037493     -0.1864189222144093      -0.20141954774506587     -0.19725866396746228     -0.20050179656377187     -0.2006502186981019      -0.22082004953922607     -0.24910435278461265     -0.21344482062296982     -0.20134844838567809     -0.24164218400366091     -0.20674207496298758     -0.15659812593891714     -0.2099986087122525      -0.22421754334328878     -0.11950286155691472     7.860576837350093E-4     0.005561506987622683     -0.10303777237633488     -0.10508372848133665
0.1                       1.5                      0.9001665834945424       0.9051857233313373       0.8880083933094493       0.8684800046560869       0.9226494684825514       0.987107635589681        0.9202838245451407       0.7117479371469727       0.467665098569555        0.2708797033791875       0.13360399963992273      0.034309755536283425     -0.040663985057940874    -0.08309721656603142     -0.08066280216523217     -0.0471075305893869      -0.024444274153310044    -0.044390417282465226    -0.09171466198677714     -0.123287880622544       -0.12469587248383811     -0.12268000399833824     -0.13628227111376695     -0.15471067815724712     -0.17520442236810393     -0.2034122179255881      -0.21540236213425815     -0.20497871179125648     -0.2235703672177175      -0.2737234728698053      -0.29512497250397024     -0.282393427117847       -0.2884744540606584      -0.316930068565138       -0.3204035670080913      -0.36018976227959637     -0.34297948055380245     -0.3269895206324391      -0.3828700769411696      -0.32460000215844115     -0.29674512149431886     -0.38875209502612973     -0.3362273600158046      -0.19038898670337512     -0.1999353142725817      -0.20815069329799196     -0.21925565424995028     -0.23146020187567456     -0.17962066979362515     -0.20755690508407929     -0.16647658202180965
0.15000000000000002       1.5                      0.8505618675428541       0.850373094893787        0.8451037200140374       0.8492371837440944       0.8522323141403703       0.8153806969811725       0.7921244188687739       0.8483424240528374       0.9102667858638311       0.8597390322112723       0.6884480835343509       0.4754496050121359       0.28443734876578675      0.12706115452742917      -0.0038954608459220714   -0.0982933600158577      -0.13726140641972862     -0.13038956721752795     -0.11828002869045164     -0.12678480751407412     -0.144886271400914       -0.16416275845988465     -0.1973979576540361      -0.23463320924372835     -0.24469781147410608     -0.2424940322878521      -0.26397519051104157     -0.3003305129888066      -0.326901319403158       -0.3317739946462574      -0.33410018302124594     -0.3592664448838694      -0.3900325364399725      -0.42321570425587174     -0.36490928352405083     -0.4265430059272542      -0.4191345477134417      -0.35421733210590156     -0.4505194136080102      -0.4072021481517999      -0.30148489676199913     -0.30160285283295013     -0.3093047478409795      -0.3151479478961693      -0.40609395888176847     -0.2904772618934961      -0.256151314189239       -0.3370316710540581      -0.19001528389368583     -0.13449208761844703     -0.2664196615768951
0.20000000000000004       1.5                      0.8013306691992295       0.8006397430832235       0.798400178491877        0.7969450519645996       0.7875642763910273       0.7808555730442744       0.7915125641881999       0.7743023594007167       0.722439816162434        0.718323013609996        0.7814334822895677       0.8148650500603788       0.7398665682468578       0.5768043842554386       0.3861364204441741       0.19965580728670784      0.028706416147866155     -0.102839985079515       -0.1748162117317341      -0.20449067248325212     -0.22161308588970083     -0.2272474229197561      -0.22295350600076067     -0.23797630961442767     -0.2768653142875346      -0.31580072346053184     -0.33786220646054493     -0.34991825762784334     -0.35564332251888203     -0.37461554957312493     -0.40203663747384283     -0.43407143251112135     -0.386877057365691       -0.45846794330647284     -0.3904399466331891      -0.44058494308809815     -0.4690390856116722      -0.35890801672310385     -0.3498978854876499      -0.33778196741821925     -0.412705335733165       -0.4108271633545734      -0.4123493799268186      -0.3386481574971484      -0.383234419121728       -0.3191721552256512      -0.2558987392695998      -0.3328764050331192      -0.3812171186568535      -0.47909744078358446     -0.562626971584456
0.25000000000000006       1.5                      0.7525960407353303       0.7518530358171701       0.7497555642856375       0.7460700685439074       0.7401703110089349       0.7368727818485973       0.7255552954938606       0.7091024007737259       0.7147795562816066       0.711711028160162        0.6618481202784595       0.6227462029070138       0.6537618469750182       0.7041377625942434       0.6855428934322669       0.5779124635037041       0.41338236594664446      0.22076006317529911      0.030438726232757646     -0.11776475464505258     -0.2133522674984195      -0.27643514332590047     -0.311384051106634       -0.3165651865741842      -0.31074039976545187     -0.32641182647071343     -0.3403812926718713      -0.3837156232605117      -0.4022386085904107      -0.43125532442268766     -0.3925581014417913      -0.4565799802732513      -0.37493304368365105     -0.47254792259456097     -0.42760405080046654     -0.3583632547660405      -0.3434140011850994      -0.4022083359461482      -0.4659198372616381      -0.4022434612032389      -0.46700107177293776     -0.32785114938072785     -0.4305412861928911      -0.36729463833787734     -0.2863394501176373      -0.4205849043109537      -0.510316873674225       -0.5498167362000833      -0.5990327558375427      -0.6501894529890305      -0.6510478972794425
0.30000000000000004       1.5                      0.704479793327228        0.7037048220779634       0.7014282782240469       0.6974650608953751       0.6923625557966223       0.6853518338826797       0.6754678827647129       0.6697141804771679       0.6561259833865571       0.6332218038705363       0.632262816844257        0.6327892786056681       0.5882594656770269       0.5366643229310767       0.5434169379207865       0.5856712112849674       0.589935076322849        0.5205619041591625       0.37987830466308836      0.19034989203774183      9.628342568595702E-4     -0.14899734067644516     -0.2641454851221095      -0.3430915288398322      -0.3700278415444796      -0.3999187359325345      -0.3668078465795253      -0.4007529428103315      -0.3583070777942809      -0.446570822819028       -0.3780679359891516      -0.4614312046703296      -0.40560023185431804     -0.3510112415181084      -0.3384403396550026      -0.44682945541095825     -0.4529489106956925      -0.41639345708066056     -0.4240250485829662      -0.3779454212530288      -0.46561791126708435     -0.3157495620281213      -0.3878474953103717      -0.44080564844352693     -0.5308724684209699      -0.6270450552825768      -0.6100282538749071      -0.6716534340232307      -0.6949013829989288      -0.7055981894927086      -0.7245614296504141
0.35000000000000003       1.5                      0.6571021925324929       0.6562967691747462       0.65389418234105         0.6498640568135571       0.6443538578943124       0.6368703641537602       0.628763958307418        0.6179934402951643       0.6044658897832156       0.5963630937256158       0.5789976210871266       0.5520595737722557       0.5476122879771376       0.5458625859154747       0.5023626893244114       0.44924241881349075      0.4444325074335979       0.47641178109087395      0.48978731423570554      0.4386535903229714       0.3087215412061255       0.1348008055427697       -0.04881794276639971     -0.19954850565678622     -0.29560122436072755     -0.407647884400991       -0.37898940510117135     -0.4606117895583668      -0.35991490379906        -0.4085996548663934      -0.37646768458412655     -0.3260346818742922      -0.36029128202028626     -0.4427257723815368      -0.43363575049967135     -0.4310771934119063      -0.4128709581347177      -0.3884923442519199      -0.40116844240069294     -0.4034927201330008      -0.3459886385782761      -0.4365029911719626      -0.6036806259337035      -0.5722046566363488      -0.6465404405094943      -0.6424038752854802      -0.7308773012141687      -0.7261186265785311      -0.7366979685652277      -0.7633890464778301      -0.7768580898363981
0.4                       1.5                      0.6105816576789184       0.6097537126018481       0.6072777586786461       0.6031614098880632       0.5974036269019729       0.590055461175682        0.5811718965403172       0.5702555507912797       0.5594004766585537       0.5444531301143863       0.5286201799297002       0.5185013384798864       0.49591063923052403      0.46794459964652463      0.4638180442283152       0.4567943624967238       0.41199797280621403      0.36327776846737386      0.3561614228237569       0.38331418145907714      0.4032527396804039       0.36433590167461183      0.2192318336991418       0.07509605296516304      -0.08341111328874326     -0.2542922597748524      -0.3006807929029423      -0.3911971895214877      -0.41316671891432283     -0.34595406852855115     -0.34324125438817255     -0.38146875561064136     -0.42304894177569735     -0.41007939138294336     -0.4049761425125316      -0.42713663046236994     -0.37171671527587385     -0.36497190755032316     -0.35921488546062774     -0.44811858360659895     -0.5330458183607898      -0.5857940340935597      -0.5972921047532189      -0.6852208511027502      -0.6851009432555618      -0.7150846561375914      -0.7432528177079458      -0.82080681816285        -0.6675198513785479      -0.8350179788410979      -0.7913680601228077
0.45                      1.5                      0.5650344658761516       0.5641949769442611       0.5616851613539561       0.5575166097574605       0.5516966692374548       0.5442971476527815       0.5352126725558964       0.5248594648093515       0.5125894548378709       0.499140030735406        0.48568441440214627      0.4669090765078852       0.45137032328613974      0.4387894082917058       0.4111098554691956       0.38722607248620894      0.38616377251720446      0.3740222597097719       0.3272238143120254       0.2791624502082482       0.29318370005894356      0.34083134294616685      0.3143011612690749       0.3188382814597167       0.1582598944086608       0.040915728767710144     -0.12832746106551335     -0.1987538776704669      -0.2687502626201478      -0.38505198650156697     -0.44744064027584435     -0.40461822997368513     -0.4218091705696861      -0.37104081694488306     -0.33935792376046003     -0.37609827625453296     -0.3785275121649822      -0.3806080467623856      -0.48478512930602274     -0.5152445273951304      -0.6038825682241417      -0.6484400665024339      -0.7146362856647852      -0.6518174824034012      -0.7119933820276835      -0.7857705041111026      -0.7542003692477505      -0.7671714243500485      -0.7896927000546057      -0.7252324097244929      -0.8057691355452975
