0	7.338841	-0.01747592
1.013559	7.112792	-0.26171992
2.027119	7.338868	-0.48142776
3.040678	7.33885	-0.66834504
4.054237	6.99723	-0.85091776
5.067797	7.33899	-1.05345416
6.081356	7.226833	-1.0862324
7.094915	7.113013	-1.06365336
8.108475	7.22689	-0.70348784
9.122034	7.339047	-0.4934072
10.135593	7.338866	-0.357918
11.149153	7.339153	0.01408264
12.162712	7.113053	-0.03905968
13.176271	7.226764	-0.20710008
14.189831	7.339064	-0.11353408
15.20339	7.665042	-0.52835904
16.216949	7.226781	-0.54840984
17.230508	7.338614	-0.87548032
18.244068	7.226756	-1.09286936
19.257627	7.338862	-1.1398464
20.271186	7.226404	-0.87570824
21.284746	7.338877	-0.60253776
22.298305	7.226615	-0.43200608
23.311864	7.449095	-0.22841544
24.325424	7.112953	-0.00001672
25.338983	7.338973	-0.18018176
