% Model:              lab4.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 6 2021, 19:53
% Dimension:          2
% Nodes:              51
% Expressions:        50
% Description:        Temperature, Dependent variable u
% Length unit:        m
% X                       Y                        T (K) @ t=0              u (K) @ t=0              T (K) @ t=1              u (K) @ t=1              T (K) @ t=2              u (K) @ t=2              T (K) @ t=3              u (K) @ t=3              T (K) @ t=4              u (K) @ t=4              T (K) @ t=5              u (K) @ t=5              T (K) @ t=6              u (K) @ t=6              T (K) @ t=7              u (K) @ t=7              T (K) @ t=8              u (K) @ t=8              T (K) @ t=9              u (K) @ t=9              T (K) @ t=10             u (K) @ t=10             T (K) @ t=11             u (K) @ t=11             T (K) @ t=12             u (K) @ t=12             T (K) @ t=13             u (K) @ t=13             T (K) @ t=14             u (K) @ t=14             T (K) @ t=15             u (K) @ t=15             T (K) @ t=16             u (K) @ t=16             T (K) @ t=17             u (K) @ t=17             T (K) @ t=18             u (K) @ t=18             T (K) @ t=19             u (K) @ t=19             T (K) @ t=20             u (K) @ t=20             T (K) @ t=21             u (K) @ t=21             T (K) @ t=22             u (K) @ t=22             T (K) @ t=23             u (K) @ t=23             T (K) @ t=24             u (K) @ t=24
0                         0.5                      273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986       273.14999999999986
0.02000000000000501       0.5                      273.15003953272          273.15003953272          273.9444229835029        273.9444229835026        274.65230139956145       274.6523013995612        275.2965750530081        275.296575053008         275.90033524005844       275.9003352400583        276.44591381003863       276.44591381003846       276.9710827679089        276.97108276790857       277.4638514168956        277.46385141689524       277.93009926972906       277.9300992697288        278.37609376069736       278.3760937606972        278.79096892917664       278.7909689291765        279.20160760446515       279.2016076044649        279.5895411469301        279.5895411469299        279.9626424155924        279.96264241559214       280.3167675451119        280.31676754511153       280.6524575010737        280.6524575010734        280.9706908954948        280.97069089549467       281.2720811361962        281.272081136196         281.5563485939869        281.5563485939866        281.82610173079104       281.8261017307907        282.08024363561424       282.08024363561384       282.32043396893874       282.32043396893823       282.5473538359726        282.547353835972         282.7608793413798        282.7608793413793        282.96311582778947       282.9631158277889
0.0400000000000049        0.5                      273.1500774521501        273.1500774521501        274.7274581995221        274.7274581995219        276.13777010534653       276.13777010534636       277.4222978268622        277.42229782686206       278.62642969971733       278.6264296997173        279.7148650843149        279.71486508431474       280.76270222852906       280.7627022285288        281.74601649981156       281.7460164998112        282.6765165227367        282.6765165227364        283.5666529009683        283.56665290096805       284.394770475388         284.39477047538776       285.2144410921339        285.21444109213365       285.9888409419279        285.9888409419275        286.7336673725346        286.733667372534         287.4406401654947        287.4406401654941        288.11084027128754       288.1108402712869        288.7462126459902        288.7462126459897        289.3479679291029        289.34796792910237       289.91555532102245       289.915555321022         290.45416086334046       290.4541608633399        290.9616037206816        290.96160372068084       291.44118946705584       291.441189467055         291.8942746712908        291.8942746712898        292.3206138623097        292.3206138623085        292.7244056654836        292.7244056654823
0.0600000000000048        0.5                      273.15011375803647       273.15011375803647       275.4908522580219        275.49085225802173       277.59296166466805       277.59296166466805       279.5098137642746        279.50981376427467       281.30760990257426       281.3076099025742        282.9335008937922        282.93350089379203       284.49903892263256       284.49903892263217       285.96848013439353       285.96848013439313       287.3592627103407        287.35926271034043       288.6898547722378        288.6898547722376        289.92796401424664       289.9279640142464        291.15346744761285       291.1534674476126        292.3114110982333        292.31141109823284       293.42522088698576       293.4252208869849        294.48249527762357       294.4824952776225        295.4848532427156        295.4848532427145        296.4351817866912        296.43518178669007       297.3352567753457        297.3352567753449        298.1842729743679        298.18427297436716       298.98993288690696       298.98993288690616       299.7489974546079        299.74899745460704       300.46639098602014       300.4663909860192        301.14413435965196       301.1441343596509        301.7818651211127        301.7818651211115        302.3858513615223        302.38585136152125
0.08000000000000469       0.5                      273.15014845033625       273.15014845033625       276.2289947327964        276.2289947327964        279.0075394806356        279.00753948063567       281.5450843705211        281.5450843705212        283.92665255849374       283.9266525584938        286.0820008981232        286.0820008981231        288.15787300981356       288.15787300981316       290.10688056213434       290.10688056213394       291.95204499585446       291.95204499585424       293.71761042081204       293.71761042081187       295.36087184310645       295.3608718431062        296.98744492930473       296.9874449293044        298.5245782664941        298.52457826649345       300.00328451336617       300.00328451336526       301.4070633827612        301.4070633827601        302.7380689233194        302.73806892331805       304.00009433898293       304.0000943389816        305.1954335701509        305.1954335701497        306.3230516027203        306.3230516027192        307.39307733048787       307.3930773304868        308.4012513487582        308.401251348757         309.35407671525724       309.35407671525604       310.25422220865          310.25422220864874       311.10121516309783       311.10121516309647       311.9033581608918        311.9033581608905
0.10000000000000459       0.5                      273.15018152904213       273.1501815290422        276.9381847491404        276.9381847491405        280.3736811155656        280.3736811155659        283.51687286871675       283.5168728687169        286.46932543492153       286.4693254349216        289.1436541665507        289.14365416655056       291.72019111376966       291.7201911137693        294.14014066656034       294.14014066656          296.431917911405         296.43191791140487       298.625233207274         298.6252332072739        300.6672615630552        300.667261563055         302.6886188080824        302.6886188080819        304.5991909546492        304.59919095464846       306.4373920243148        306.43739202431374       308.18265305887513       308.18265305887377       309.83765925623123       309.8376592562298        311.40706331592577       311.4070633159244        312.89361595349277       312.89361595349135       314.29608442686214       314.2960844268609        315.6269068976034        315.6269068976022        316.88085286721844       316.8808528672172        318.06595227886714       318.065952278866         319.18550052709946       319.1855005270981        320.23892354617436       320.2389235461728        321.23651316147357       321.23651316147215
0.12000000000000445       0.5                      273.1502129941528        273.15021299415287       277.61604721226604       277.61604721226627       281.6855553051444        281.6855553051447        285.41627613628026       285.4162761362803        288.9239622220113        288.9239622220114        292.104464358342         292.10446435834194       295.1698177103665        295.1698177103661        298.05012112174774       298.0501211217473        300.77895462672865       300.77895462672836       303.3911260916948        303.3911260916945        305.8240461479507        305.8240461479503        308.2324338493128        308.2324338493122        310.50934243546334       310.5093424354624        312.7003614453972        312.7003614453959        314.78089076565607       314.78089076565465       316.7541418458609        316.75414184585946       318.6255702286357        318.6255702286343        320.3983092439304        320.39830924392896       322.07096719871566       322.0709671987143        323.65814983936207       323.6581498393608        325.15371515412386       325.1537151541226        326.5671574470656        326.56715744706423       327.90237306928753       327.90237306928594       329.1586972206273        329.15869722062564       330.3483565980923        330.3483565980907
0.14000000000000437       0.5                      273.15024284566806       273.15024284566806       278.2610949863333        278.2610949863335        282.9388762867108        282.93887628671104       287.23630840335466       287.2363084033546        291.28107549736126       291.2810754973613        294.95278647084007       294.95278647084          298.4930735543037        298.49307355430324       301.8212973579093        301.8212973579088        304.975939883729         304.9759398837286        307.99648879290146       307.9964887929011        310.8110026483411        310.81100264834055       313.5972642331848        313.5972642331839        316.23211012407006       316.2321101240688        318.768042740663         318.76804274066154       321.17647559732524       321.1764755973236        323.4611405491404        323.4611405491387        325.6282304780157        325.628230478014         327.681175849373         327.6811758493713        329.61847071751646       329.61847071751464       331.45672522036824       331.4567252203664        333.1889544589969        333.1889544589953        334.82604540300304       334.8260454030014        336.37246593709847       336.3724659370967        337.8274728148899        337.8274728148879        339.20516550118106       339.2051655011792
0.16000000000000425       0.5                      273.1502710835878        273.1502710835878        278.8724170412379        278.872417041238         284.1305354967005        284.13053549670065       288.9715389946775        288.9715389946772        293.53301023245103       293.5330102324508        297.6789973146443        297.6789973146438        301.6784629656956        301.6784629656949        305.44046186348015       305.44046186347936       309.0080858440639        309.00808584406326       312.42504582046746       312.4250458204667        315.61051031652636       315.61051031652534       318.7641614917662        318.76416149176475       321.7473118206196        321.7473118206179        324.6190813768148        324.619081376813         327.34694906459447       327.34694906459237       329.93516038716785       329.93516038716564       332.39057248051756       332.3905724805153        334.7168179162233        334.71681791622103       336.91232619663873       336.9123261966366        338.9955307177386        338.9955307177365        340.95867986370536       340.9586798637032        342.81397414377085       342.8139741437687        344.5664205039149        344.5664205039127        346.2152108863526        346.21521088635035       347.7762492873724        347.77624928737015
0.18000000000000416       0.5                      273.1502977079124        273.1502977079124        279.44946588956856       279.4494658895688        285.2583056061325        285.2583056061326        290.6177835268851        290.6177835268847        295.6736386586942        295.6736386586937        300.2752008109504        300.27520081094974       304.7163910959358        304.71639109593497       308.896452876788         308.89645287678707       312.8627717623868        312.86277176238593       316.66279614322144       316.66279614322053       320.2073087548813        320.20730875488005       323.71662090480544       323.71662090480385       327.03727910837716       327.0372791083753        330.2346979101799        330.23469791017783       333.2724799208306        333.27247992082835       336.1553766786722        336.15537667866977       338.89083033219316       338.8908303321906        341.48257294404607       341.4825729440435        343.9290231489968        343.92902314899425       346.2502425766158        346.2502425766133        348.43779490592806       348.43779490592556       350.5051095928821        350.50510959287953       352.45769792878525       352.4576979287827        354.29470170592236       354.2947017059197        356.0337568527673        356.0337568527646
